"cliente_id";"cliente_nombre";"genero_desc";"fecha_nacimiento";"edad"
48;"Cliente 5330";"Mujer";"1983-08-31";38
49;"Cliente 7919";"Hombre";"1984-09-02";37
50;"Cliente 7920";"Mujer";"1985-10-22";36
51;"Cliente 4108";"Mujer";"1970-10-02";51
52;"Cliente 9613";"Hombre";"1986-12-06";35
53;"Cliente 3892";"Hombre";"1967-07-31";54
54;"Cliente 7809";"Mujer";"1986-11-13";35
55;"Cliente 5856";"Hombre";"1968-08-22";53
56;"Cliente 6698";"Hombre";"1979-06-24";42
57;"Cliente 8355";"Mujer";"1970-10-10";51
58;"Cliente 1620";"Mujer";"1961-01-31";60
59;"Cliente 5632";"Hombre";"1972-12-26";49
60;"Cliente 7337";"Hombre";"1972-04-17";49
61;"Cliente 8068";"Hombre";"1971-11-07";50
62;"Cliente 8297";"Hombre";"1976-04-19";45
63;"Cliente 9486";"Hombre";"1964-02-01";57
64;"Cliente 3752";"Hombre";"1962-12-05";59
65;"Cliente 2422";"Mujer";"1972-12-05";49
66;"Cliente 8690";"Mujer";"1953-03-29";68
67;"Cliente 3139";"Hombre";"1976-12-05";45
68;"Cliente 2897";"Mujer";"1954-04-16";67
69;"Cliente 6057";"Hombre";"1955-05-12";66
70;"Cliente 1862";"Hombre";"1973-01-29";48
71;"Cliente 5571";"Hombre";"1956-06-11";65
72;"Cliente 1433";"Hombre";"1974-02-13";47
73;"Cliente 2993";"Mujer";"1958-08-19";63
74;"Cliente 2230";"Hombre";"1977-01-16";44
75;"Cliente 2758";"Hombre";"1970-02-09";51
76;"Cliente 7080";"Mujer";"1947-03-14";74
77;"Cliente 9866";"Mujer";"1953-09-18";68
78;"Cliente 4390";"Hombre";"1962-06-18";59
79;"Cliente 1434";"Hombre";"1965-09-11";56
80;"Cliente 4616";"Hombre";"1978-02-13";43
81;"Cliente 4932";"Hombre";"1975-03-26";46
82;"Cliente 6530";"Hombre";"1971-03-06";50
83;"Cliente 4273";"Hombre";"1976-04-21";45
84;"Cliente 7481";"Mujer";"1963-01-09";58
85;"Cliente 5633";"Hombre";"1978-02-28";43
86;"Cliente 8887";"Hombre";"1979-05-31";42
87;"Cliente 1275";"Mujer";"1961-05-06";60
88;"Cliente 7152";"Hombre";"1971-09-14";50
89;"Cliente 4681";"Hombre";"1971-11-13";50
90;"Cliente 2577";"Mujer";"1962-06-18";59
91;"Cliente 3210";"Mujer";"1953-11-12";68
92;"Cliente 2139";"Mujer";"1981-07-08";40
93;"Cliente 3544";"Hombre";"1979-03-09";42
94;"Cliente 1317";"Hombre";"1962-08-13";59
95;"Cliente 5186";"Hombre";"1952-12-13";69
96;"Cliente 9825";"Hombre";"1980-04-10";41
97;"Cliente 4556";"Hombre";"1987-10-03";34
98;"Cliente 2273";"Hombre";"1961-07-22";60
99;"Cliente 527";"Hombre";"1941-11-06";80
100;"Cliente 7532";"Mujer";"1975-09-24";46
101;"Cliente 1276";"Mujer";"1956-02-13";65
102;"Cliente 9005";"Hombre";"1969-03-15";52
103;"Cliente 7153";"Hombre";"1965-11-13";56
104;"Cliente 1277";"Mujer";"1964-10-16";57
105;"Cliente 4741";"Mujer";"1963-09-20";58
106;"Cliente 5691";"Hombre";"1981-05-20";40
107;"Cliente 4978";"Hombre";"1977-05-12";44
108;"Cliente 119";"Mujer";"1963-07-14";58
109;"Cliente 1621";"Mujer";"1974-02-09";47
110;"Cliente 7482";"Mujer";"1964-08-29";57
111;"Cliente 6113";"Hombre";"1973-01-18";48
112;"Cliente 8044";"Mujer";"1966-06-27";55
113;"Cliente 4979";"Mujer";"1982-06-12";39
114;"Cliente 6839";"Mujer";"1965-05-12";56
115;"Cliente 1622";"Mujer";"1965-09-09";56
116;"Cliente 2631";"Mujer";"1964-04-18";57
117;"Cliente 1702";"Hombre";"1963-03-16";58
118;"Cliente 7850";"Hombre";"1983-07-14";38
119;"Cliente 4506";"Hombre";"1958-04-16";63
120;"Cliente 9206";"Hombre";"1984-08-26";37
121;"Cliente 7031";"Mujer";"1969-09-11";52
122;"Cliente 5420";"Hombre";"1966-10-20";55
123;"Cliente 9396";"Hombre";"1985-09-14";36
124;"Cliente 2759";"Hombre";"1959-05-23";62
125;"Cliente 1623";"Mujer";"1972-11-12";49
126;"Cliente 1703";"Mujer";"1986-10-05";35
127;"Cliente 2031";"Hombre";"1963-02-03";58
128;"Cliente 8112";"Mujer";"1970-09-30";51
129;"Cliente 1779";"Mujer";"1978-05-02";43
130;"Cliente 8671";"Hombre";"1967-06-20";54
131;"Cliente 1863";"Hombre";"1965-04-17";56
132;"Cliente 3893";"Hombre";"1960-06-19";61
133;"Cliente 4463";"Mujer";"1971-10-11";50
134;"Cliente 3894";"Hombre";"1966-12-09";55
135;"Cliente 680";"Hombre";"1972-06-21";49
136;"Cliente 5506";"Mujer";"1974-08-19";47
137;"Cliente 3669";"Mujer";"1952-12-13";69
138;"Cliente 1278";"Mujer";"1955-06-12";66
139;"Cliente 1512";"Hombre";"1967-11-12";54
140;"Cliente 771";"Hombre";"1968-12-13";53
141;"Cliente 3959";"Hombre";"1969-08-25";52
142;"Cliente 8069";"Hombre";"1943-06-15";78
143;"Cliente 1";"Mujer";"1969-01-16";52
144;"Cliente 4933";"Hombre";"1970-02-13";51
145;"Cliente 5857";"Mujer";"1971-03-23";50
146;"Cliente 6750";"Mujer";"1941-04-27";80
147;"Cliente 1864";"Hombre";"1976-11-17";45
148;"Cliente 2578";"Mujer";"1972-05-25";49
149;"Cliente 8286";"Mujer";"1950-03-14";71
150;"Cliente 7112";"Mujer";"1972-04-15";49
151;"Cliente 6574";"Hombre";"1941-06-04";80
152;"Cliente 8070";"Mujer";"1977-12-07";44
153;"Cliente 344";"Mujer";"1946-09-04";75
154;"Cliente 8691";"Mujer";"1971-04-05";50
155;"Cliente 9177";"Mujer";"1976-10-13";45
156;"Cliente 2632";"Hombre";"1975-09-07";46
157;"Cliente 5187";"Hombre";"1974-08-03";47
158;"Cliente 2231";"Hombre";"1973-05-27";48
159;"Cliente 1956";"Mujer";"1978-01-03";43
160;"Cliente 7881";"Hombre";"1969-03-03";52
161;"Cliente 9789";"Mujer";"1966-12-13";55
162;"Cliente 1704";"Hombre";"1965-11-25";56
163;"Cliente 1705";"Mujer";"1979-04-27";42
164;"Cliente 5991";"Hombre";"1968-02-23";53
165;"Cliente 7447";"Hombre";"1974-06-14";47
166;"Cliente 2898";"Mujer";"1975-07-18";46
167;"Cliente 8137";"Hombre";"1970-04-04";51
168;"Cliente 120";"Mujer";"1967-03-26";54
169;"Cliente 5465";"Mujer";"1966-02-22";55
170;"Cliente 4617";"Hombre";"1964-12-07";57
171;"Cliente 681";"Hombre";"1963-11-18";58
172;"Cliente 616";"Mujer";"1951-11-12";70
173;"Cliente 4557";"Hombre";"1957-05-27";64
174;"Cliente 4682";"Hombre";"1985-08-19";36
175;"Cliente 3071";"Mujer";"1979-02-14";42
176;"Cliente 5252";"Hombre";"1945-10-03";76
177;"Cliente 8138";"Mujer";"1978-12-03";43
178;"Cliente 4980";"Hombre";"1980-03-18";41
179;"Cliente 4391";"Hombre";"1980-05-03";41
180;"Cliente 7113";"Hombre";"1981-04-15";40
181;"Cliente 4838";"Hombre";"1976-08-07";45
182;"Cliente 345";"Hombre";"1970-06-27";51
183;"Cliente 6751";"Mujer";"1978-03-14";43
184;"Cliente 772";"Mujer";"1982-05-27";39
185;"Cliente 6954";"Hombre";"1983-06-14";38
186;"Cliente 5367";"Hombre";"1961-09-22";60
187;"Cliente 528";"Mujer";"1984-07-23";37
188;"Cliente 5466";"Mujer";"1980-02-13";41
189;"Cliente 4896";"Mujer";"1975-11-25";46
190;"Cliente 9844";"Mujer";"1962-10-13";59
191;"Cliente 4274";"Hombre";"1972-08-14";49
192;"Cliente 998";"Mujer";"1963-11-12";58
193;"Cliente 9642";"Hombre";"1978-07-19";43
194;"Cliente 8404";"Mujer";"1979-08-21";42
195;"Cliente 1562";"Mujer";"1980-09-23";41
196;"Cliente 6752";"Mujer";"1981-10-28";40
197;"Cliente 9279";"Mujer";"1956-07-29";65
198;"Cliente 7483";"Hombre";"1985-08-11";36
199;"Cliente 9704";"Hombre";"1986-09-05";35
200;"Cliente 2423";"Mujer";"1947-10-19";74
201;"Cliente 7382";"Mujer";"1954-05-24";67
202;"Cliente 346";"Hombre";"1970-11-13";51
203;"Cliente 5692";"Mujer";"1962-01-07";59
204;"Cliente 3960";"Mujer";"1964-12-27";57
205;"Cliente 2706";"Hombre";"1952-03-14";69
206;"Cliente 6446";"Mujer";"1951-02-11";70
207;"Cliente 1624";"Mujer";"1965-01-31";56
208;"Cliente 8567";"Hombre";"1950-01-09";71
209;"Cliente 5055";"Hombre";"1973-09-11";48
210;"Cliente 773";"Mujer";"1966-02-28";55
211;"Cliente 5056";"Hombre";"1967-03-10";54
212;"Cliente 7032";"Hombre";"1976-10-06";45
213;"Cliente 9539";"Hombre";"1980-04-18";41
214;"Cliente 9751";"Hombre";"1949-12-10";72
215;"Cliente 682";"Hombre";"1978-02-23";43
216;"Cliente 6303";"Hombre";"1977-01-12";44
217;"Cliente 6661";"Hombre";"1976-12-10";45
218;"Cliente 1435";"Mujer";"1975-11-29";46
219;"Cliente 4618";"Mujer";"1977-11-04";44
220;"Cliente 6155";"Hombre";"1968-04-01";53
221;"Cliente 3474";"Hombre";"1969-05-08";52
222;"Cliente 617";"Hombre";"1978-12-25";43
223;"Cliente 2140";"Hombre";"1979-01-16";42
224;"Cliente 8836";"Mujer";"1977-11-23";44
225;"Cliente 1957";"Mujer";"1979-03-14";42
226;"Cliente 434";"Hombre";"1970-06-16";51
227;"Cliente 1318";"Mujer";"1980-02-15";41
228;"Cliente 7718";"Mujer";"1972-08-19";49
229;"Cliente 2424";"Hombre";"1971-07-07";50
230;"Cliente 209";"Hombre";"1981-05-20";40
231;"Cliente 2141";"Mujer";"1981-03-28";40
232;"Cliente 2032";"Mujer";"1973-09-20";48
233;"Cliente 6753";"Hombre";"1942-07-02";79
234;"Cliente 1319";"Mujer";"1980-07-12";41
235;"Cliente 9857";"Hombre";"1976-10-28";45
236;"Cliente 7406";"Hombre";"1982-04-13";39
237;"Cliente 8156";"Hombre";"1973-07-13";48
238;"Cliente 1102";"Mujer";"1983-05-12";38
239;"Cliente 5818";"Hombre";"1974-10-02";47
240;"Cliente 7338";"Mujer";"1971-05-12";50
241;"Cliente 7533";"Mujer";"1966-02-04";55
242;"Cliente 7266";"Mujer";"1956-09-23";65
243;"Cliente 9384";"Hombre";"1954-07-18";67
244;"Cliente 3545";"Hombre";"1967-01-03";54
245;"Cliente 6754";"Hombre";"1943-08-03";78
246;"Cliente 4204";"Hombre";"1944-09-14";77
247;"Cliente 4558";"Mujer";"1975-11-02";46
248;"Cliente 7448";"Hombre";"1976-12-16";45
249;"Cliente 8940";"Hombre";"1945-10-09";76
250;"Cliente 4109";"Hombre";"1946-11-13";75
251;"Cliente 9304";"Hombre";"1947-12-18";74
252;"Cliente 210";"Hombre";"1984-06-26";37
253;"Cliente 6575";"Mujer";"1955-01-09";66
254;"Cliente 5858";"Hombre";"1942-02-13";79
255;"Cliente 4110";"Hombre";"1974-10-17";47
256;"Cliente 4111";"Hombre";"1944-02-13";77
257;"Cliente 2633";"Hombre";"1943-01-16";78
258;"Cliente 1958";"Mujer";"1961-07-07";60
259;"Cliente 2057";"Mujer";"1942-12-14";79
260;"Cliente 5368";"Mujer";"1962-08-14";59
261;"Cliente 8021";"Mujer";"1963-09-26";58
262;"Cliente 1780";"Mujer";"1985-07-18";36
263;"Cliente 7212";"Hombre";"1941-11-30";80
264;"Cliente 4507";"Hombre";"1950-10-04";71
265;"Cliente 2343";"Hombre";"1941-01-17";80
266;"Cliente 5369";"Hombre";"1948-08-15";73
267;"Cliente 2825";"Hombre";"1946-04-19";75
268;"Cliente 2634";"Mujer";"1964-10-12";57
269;"Cliente 4275";"Hombre";"1946-06-27";75
270;"Cliente 9305";"Mujer";"1945-05-14";76
271;"Cliente 3753";"Mujer";"1965-11-18";56
272;"Cliente 9243";"Hombre";"1944-04-30";77
273;"Cliente 6576";"Hombre";"1986-08-23";35
274;"Cliente 7787";"Hombre";"1976-09-17";45
275;"Cliente 8791";"Mujer";"1977-10-12";44
276;"Cliente 6922";"Hombre";"1978-11-14";43
277;"Cliente 1320";"Mujer";"1943-03-26";78
278;"Cliente 529";"Mujer";"1966-12-18";55
279;"Cliente 6699";"Hombre";"1953-11-04";68
280;"Cliente 1321";"Mujer";"1967-01-15";54
281;"Cliente 6613";"Mujer";"1968-02-13";53
282;"Cliente 2899";"Hombre";"1979-12-18";42
283;"Cliente 2707";"Hombre";"1980-01-01";41
284;"Cliente 4897";"Mujer";"1969-03-17";52
285;"Cliente 2142";"Mujer";"1947-07-02";74
286;"Cliente 6487";"Mujer";"1981-02-14";40
287;"Cliente 9874";"Mujer";"1949-09-11";72
288;"Cliente 5188";"Mujer";"1971-07-09";50
289;"Cliente 2900";"Mujer";"1982-03-17";39
290;"Cliente 7810";"Hombre";"1970-06-03";51
291;"Cliente 4898";"Hombre";"1969-05-30";52
292;"Cliente 1781";"Mujer";"1970-04-17";51
293;"Cliente 121";"Mujer";"1968-04-27";53
294;"Cliente 2344";"Hombre";"1957-03-30";64
295;"Cliente 4276";"Hombre";"1956-02-16";65
296;"Cliente 3670";"Hombre";"1983-04-20";38
297;"Cliente 7009";"Hombre";"1984-05-12";37
298;"Cliente 4205";"Hombre";"1947-05-22";74
299;"Cliente 211";"Hombre";"1954-12-06";67
300;"Cliente 6355";"Hombre";"1971-05-06";50
301;"Cliente 7407";"Hombre";"1972-08-09";49
302;"Cliente 8761";"Hombre";"1952-10-02";69
303;"Cliente 8436";"Hombre";"1951-09-29";70
304;"Cliente 3272";"Hombre";"1950-08-21";71
305;"Cliente 8642";"Hombre";"1972-06-18";49
306;"Cliente 9111";"Hombre";"1949-07-13";72
307;"Cliente 8479";"Mujer";"1985-06-12";36
308;"Cliente 4981";"Hombre";"1948-06-28";73
309;"Cliente 7060";"Mujer";"1986-07-08";35
310;"Cliente 3404";"Mujer";"1976-08-07";45
311;"Cliente 9695";"Hombre";"1948-01-04";73
312;"Cliente 2425";"Hombre";"1949-02-09";72
313;"Cliente 1959";"Mujer";"1950-03-13";71
314;"Cliente 6700";"Hombre";"1977-09-17";44
315;"Cliente 530";"Hombre";"1973-07-26";48
316;"Cliente 5467";"Hombre";"1951-04-19";70
317;"Cliente 9375";"Hombre";"1952-05-08";69
318;"Cliente 9280";"Hombre";"1978-10-26";43
319;"Cliente 9643";"Mujer";"1974-08-31";47
320;"Cliente 7484";"Mujer";"1975-09-03";46
321;"Cliente 9889";"Hombre";"1975-09-06";46
322;"Cliente 1625";"Mujer";"1976-10-12";45
323;"Cliente 5057";"Mujer";"1976-11-27";45
324;"Cliente 8455";"Hombre";"1979-11-30";42
325;"Cliente 2994";"Mujer";"1953-06-13";68
326;"Cliente 8157";"Hombre";"1961-12-13";60
327;"Cliente 2";"Hombre";"1969-10-02";52
328;"Cliente 4206";"Hombre";"1955-08-22";66
329;"Cliente 4559";"Hombre";"1941-06-30";80
330;"Cliente 4839";"Mujer";"1962-01-13";59
331;"Cliente 5819";"Hombre";"1980-12-31";41
332;"Cliente 435";"Hombre";"1981-01-18";40
333;"Cliente 2274";"Hombre";"1963-02-24";58
334;"Cliente 4982";"Hombre";"1982-02-18";39
335;"Cliente 8158";"Hombre";"1957-10-30";64
336;"Cliente 8159";"Mujer";"1958-11-29";63
337;"Cliente 8333";"Mujer";"1959-12-30";62
338;"Cliente 3";"Mujer";"1983-03-04";38
339;"Cliente 9487";"Hombre";"1961-02-26";60
340;"Cliente 7485";"Hombre";"1984-04-09";37
341;"Cliente 212";"Hombre";"1979-06-13";42
342;"Cliente 436";"Hombre";"1962-03-17";59
343;"Cliente 6883";"Hombre";"1963-04-20";58
344;"Cliente 8113";"Hombre";"1964-05-21";57
345;"Cliente 2826";"Hombre";"1965-06-28";56
346;"Cliente 4";"Mujer";"1964-03-30";57
347;"Cliente 2426";"Mujer";"1985-05-10";36
348;"Cliente 8419";"Hombre";"1966-07-17";55
349;"Cliente 618";"Mujer";"1967-08-12";54
350;"Cliente 899";"Hombre";"1965-04-25";56
351;"Cliente 531";"Hombre";"1968-09-16";53
352;"Cliente 5468";"Mujer";"1978-12-12";43
353;"Cliente 2708";"Hombre";"1980-02-03";41
354;"Cliente 6955";"Hombre";"1966-05-26";55
355;"Cliente 9053";"Mujer";"1967-06-28";54
356;"Cliente 9705";"Hombre";"1942-02-04";79
357;"Cliente 4392";"Mujer";"1986-06-06";35
358;"Cliente 4683";"Hombre";"1976-07-01";45
359;"Cliente 8778";"Hombre";"1954-12-16";67
360;"Cliente 7788";"Mujer";"1967-09-04";54
361;"Cliente 4840";"Hombre";"1985-08-07";36
362;"Cliente 8853";"Mujer";"1968-07-12";53
363;"Cliente 7954";"Mujer";"1989-11-08";32
364;"Cliente 2709";"Mujer";"1990-12-08";31
365;"Cliente 4207";"Hombre";"1946-06-23";75
366;"Cliente 4983";"Mujer";"1969-08-21";52
367;"Cliente 8001";"Hombre";"1951-11-17";70
368;"Cliente 9656";"Mujer";"1977-08-02";44
369;"Cliente 5";"Mujer";"1956-04-20";65
370;"Cliente 213";"Hombre";"1962-10-26";59
371;"Cliente 1626";"Hombre";"1963-11-27";58
372;"Cliente 7921";"Mujer";"1978-09-03";43
373;"Cliente 2635";"Mujer";"1970-09-10";51
374;"Cliente 1782";"Mujer";"1971-10-09";50
375;"Cliente 2579";"Mujer";"1964-12-28";57
376;"Cliente 6923";"Hombre";"1965-01-07";56
377;"Cliente 9951";"Hombre";"1978-09-14";43
378;"Cliente 2143";"Hombre";"1952-02-03";69
379;"Cliente 5118";"Mujer";"1949-09-18";72
380;"Cliente 5741";"Mujer";"1972-11-12";49
381;"Cliente 8356";"Hombre";"1974-12-07";47
382;"Cliente 6701";"Hombre";"1973-11-02";48
383;"Cliente 214";"Mujer";"1979-10-28";42
384;"Cliente 9784";"Mujer";"1972-10-08";49
385;"Cliente 6304";"Hombre";"1971-09-25";50
386;"Cliente 2710";"Hombre";"1970-08-31";51
387;"Cliente 6956";"Hombre";"1973-12-05";48
388;"Cliente 774";"Mujer";"1969-07-21";52
389;"Cliente 8139";"Mujer";"1968-06-20";53
390;"Cliente 7033";"Mujer";"1967-05-17";54
391;"Cliente 347";"Hombre";"1966-04-04";55
392;"Cliente 4684";"Mujer";"1965-03-14";56
393;"Cliente 6156";"Mujer";"1957-01-04";64
394;"Cliente 4619";"Hombre";"1958-02-03";63
395;"Cliente 7010";"Hombre";"1959-04-08";62
396;"Cliente 8022";"Hombre";"1974-01-15";47
397;"Cliente 9281";"Hombre";"1975-02-13";46
398;"Cliente 7789";"Mujer";"1960-05-03";61
399;"Cliente 4464";"Mujer";"1961-03-01";60
400;"Cliente 9437";"Hombre";"1951-01-07";70
401;"Cliente 8091";"Hombre";"1980-11-23";41
402;"Cliente 215";"Mujer";"1947-07-18";74
403;"Cliente 4984";"Mujer";"1976-03-28";45
404;"Cliente 348";"Mujer";"1963-07-15";58
405;"Cliente 900";"Hombre";"1981-12-08";40
406;"Cliente 1279";"Hombre";"1956-12-07";65
407;"Cliente 1436";"Mujer";"1982-01-06";39
408;"Cliente 532";"Mujer";"1983-02-19";38
409;"Cliente 9488";"Hombre";"1966-10-10";55
410;"Cliente 3599";"Hombre";"1967-11-15";54
411;"Cliente 4560";"Mujer";"1968-12-01";53
412;"Cliente 5119";"Hombre";"1969-01-02";52
413;"Cliente 8888";"Hombre";"1941-09-01";80
414;"Cliente 775";"Mujer";"1964-08-14";57
415;"Cliente 5693";"Hombre";"1984-03-09";37
416;"Cliente 1183";"Mujer";"1954-10-02";67
417;"Cliente 4985";"Hombre";"1985-04-22";36
418;"Cliente 8287";"Mujer";"1952-08-14";69
419;"Cliente 3211";"Mujer";"1945-03-17";76
420;"Cliente 4742";"Hombre";"1951-07-31";70
421;"Cliente 8002";"Mujer";"1950-06-30";71
422;"Cliente 4620";"Mujer";"1961-04-30";60
423;"Cliente 8092";"Mujer";"1949-05-21";72
424;"Cliente 7686";"Mujer";"1948-04-09";73
425;"Cliente 3475";"Mujer";"1986-05-11";35
426;"Cliente 2827";"Hombre";"1946-02-16";75
427;"Cliente 2427";"Mujer";"1945-01-04";76
428;"Cliente 5859";"Mujer";"1944-12-18";77
429;"Cliente 7922";"Mujer";"1943-11-06";78
430;"Cliente 3546";"Mujer";"1976-06-07";45
431;"Cliente 7851";"Hombre";"1962-05-20";59
432;"Cliente 9489";"Hombre";"1942-10-05";79
433;"Cliente 3273";"Mujer";"1973-05-14";48
434;"Cliente 7154";"Mujer";"1976-02-10";45
435;"Cliente 3600";"Hombre";"1963-06-07";58
436;"Cliente 2711";"Hombre";"1964-07-08";57
437;"Cliente 2901";"Mujer";"1977-07-19";44
438;"Cliente 4743";"Hombre";"1973-09-12";48
439;"Cliente 2580";"Mujer";"1974-10-04";47
440;"Cliente 1322";"Hombre";"1965-08-19";56
441;"Cliente 5992";"Hombre";"1976-12-26";45
442;"Cliente 2058";"Mujer";"1977-01-05";44
443;"Cliente 1184";"Hombre";"1966-09-22";55
444;"Cliente 6924";"Mujer";"1971-12-19";50
445;"Cliente 2033";"Mujer";"1978-08-23";43
446;"Cliente 5507";"Hombre";"1967-10-11";54
447;"Cliente 4934";"Hombre";"1981-06-09";40
448;"Cliente 5058";"Mujer";"1962-08-21";59
449;"Cliente 9376";"Mujer";"1961-11-06";60
450;"Cliente 4016";"Mujer";"1979-09-25";42
451;"Cliente 8629";"Hombre";"1968-11-15";53
452;"Cliente 6058";"Mujer";"1960-10-02";61
453;"Cliente 8172";"Hombre";"1959-09-10";62
454;"Cliente 6792";"Hombre";"1960-08-02";61
455;"Cliente 5508";"Hombre";"1958-06-07";63
456;"Cliente 2232";"Mujer";"1978-02-12";43
457;"Cliente 1103";"Hombre";"1953-01-26";68
458;"Cliente 7339";"Mujer";"1954-02-26";67
459;"Cliente 8692";"Mujer";"1969-12-27";52
460;"Cliente 1960";"Hombre";"1955-03-25";66
461;"Cliente 2275";"Hombre";"1956-04-12";65
462;"Cliente 5694";"Mujer";"1980-10-31";41
463;"Cliente 3671";"Mujer";"1969-05-16";52
464;"Cliente 6305";"Mujer";"1959-07-19";62
465;"Cliente 7061";"Hombre";"1970-01-20";51
466;"Cliente 7155";"Mujer";"1961-09-02";60
467;"Cliente 5331";"Mujer";"1962-10-14";59
468;"Cliente 6";"Mujer";"1981-11-12";40
469;"Cliente 8173";"Mujer";"1971-02-03";50
470;"Cliente 5332";"Mujer";"1965-01-18";56
471;"Cliente 8792";"Hombre";"1972-03-14";49
472;"Cliente 9306";"Mujer";"1982-12-13";39
473;"Cliente 8889";"Hombre";"1968-04-21";53
474;"Cliente 2902";"Hombre";"1973-04-25";48
475;"Cliente 4508";"Hombre";"1974-05-05";47
476;"Cliente 3274";"Hombre";"1983-01-03";38
477;"Cliente 683";"Hombre";"1957-07-13";64
478;"Cliente 6614";"Mujer";"1963-09-20";58
479;"Cliente 7034";"Hombre";"1964-10-11";57
480;"Cliente 3672";"Mujer";"1984-02-04";37
481;"Cliente 6306";"Hombre";"1975-06-27";46
482;"Cliente 2276";"Hombre";"1967-01-17";54
483;"Cliente 9605";"Mujer";"1978-12-12";43
484;"Cliente 1961";"Mujer";"1985-03-17";36
485;"Cliente 5509";"Mujer";"1961-07-07";60
486;"Cliente 6925";"Hombre";"1971-05-05";50
487;"Cliente 1627";"Mujer";"1972-06-06";49
488;"Cliente 9295";"Hombre";"1973-07-07";48
489;"Cliente 6447";"Mujer";"1974-08-08";47
490;"Cliente 7011";"Mujer";"1975-09-09";46
491;"Cliente 7744";"Mujer";"1976-10-10";45
492;"Cliente 1706";"Hombre";"1977-11-11";44
493;"Cliente 4017";"Hombre";"1976-07-18";45
494;"Cliente 5120";"Hombre";"1973-07-22";48
495;"Cliente 3275";"Mujer";"1986-04-20";35
496;"Cliente 3476";"Hombre";"1961-08-03";60
497;"Cliente 7719";"Mujer";"1962-09-14";59
498;"Cliente 2995";"Hombre";"1977-11-17";44
499;"Cliente 5779";"Hombre";"1943-08-13";78
500;"Cliente 6271";"Hombre";"1979-01-07";42
501;"Cliente 5572";"Mujer";"1963-10-12";58
502;"Cliente 5189";"Hombre";"1981-03-07";40
503;"Cliente 5946";"Hombre";"1964-11-17";57
504;"Cliente 7213";"Hombre";"1946-11-08";75
505;"Cliente 7745";"Hombre";"1976-05-30";45
506;"Cliente 3405";"Mujer";"1948-01-12";73
507;"Cliente 901";"Hombre";"1965-12-22";56
508;"Cliente 3406";"Hombre";"1966-01-20";55
509;"Cliente 9941";"Hombre";"1967-02-13";54
510;"Cliente 2760";"Mujer";"1942-05-17";79
511;"Cliente 8643";"Hombre";"1977-06-27";44
512;"Cliente 9743";"Mujer";"1944-07-31";77
513;"Cliente 6859";"Hombre";"1945-08-01";76
514;"Cliente 7790";"Hombre";"1968-04-17";53
515;"Cliente 4277";"Mujer";"1957-03-31";64
516;"Cliente 684";"Hombre";"1969-05-15";52
517;"Cliente 2345";"Mujer";"1981-08-15";40
